Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma
1572864,458752,65536,0,196608,65536,0,0
1572864,65536,458752,65536,0,0,65536,0
1576192,12713984,11468800,14155776,9175040,7929856,15728640,15400984
1573376,5177600,6815744,1769472,1507328,13959168,8257536,5898243
1573120,8650752,7405568,13041664,720896,5308416,65536,2162704
1572864,5505280,12845312,5112064,8716288,8519680,13697024,16121870
1574656,16187392,12976128,10092800,9895936,3080192,13041664,5898263
1572864,1048832,4128768,8323072,786432,5242880,11534336,16580615
1580800,6881536,14680320,4456448,5636096,14483456,5439488,13828105
1573632,14090240,16580608,11927552,10944512,14942208,9764864,8978438
1576448,13041920,15597568,11141120,2555904,13172736,7667712,3932171
1573632,7799296,393216,4718592,12517376,11862016,8126464,11862020
1573888,15139328,12779520,16121856,7077888,13565952,10944512,2686984
1573120,2162688,8650752,9830656,6094848,15466496,196608,1114123
1573888,12386304,12713984,12582912,11796480,4521984,16056320,1572867
1574656,11993088,13893632,12451840,4980736,14745600,9568256,7471105
1572864,16580608,12058624,786432,2162688,12845056,2555904,589838
1573120,7143424,9633792,13631488,13172736,2949120,16711680,7667718
1575936,15204608,4259840,5177344,393216,4784128,2621440,6946882
1573120,9961472,13303808,16646144,10223616,2949120,6291456,6815760
1573120,10879232,11796480,16318464,15859712,3342336,8126464,3407886
1573632,2555904,14876672,11534336,2621440,9699328,7405568,15466497
1574144,1573120,2949120,6815744,1507328,2424832,3276800,15990793
1573120,11993344,6619136,2424832,15990784,5373952,11665408,7077894
1577472,16450048,12976128,14614528,12517376,13762560,12320768,8126483
1572864,2031872,5373952,655360,5832704,12910592,10944512,10944518
271104,1704704,0,0,0,0,0,0
1573120,9437440,5570560,9043968,3604480,11534336,15794176,786440
1573632,8585472,2752768,7733504,13959168,15532032,393216,10944520
1573120,12910592,8781824,10289152,7995392,5832704,16711680,12779534
1573376,11403520,11599872,7274496,7471104,10420224,8847360,3538962
1576704,10289152,4259840,12320768,14221312,5242880,6881280,6815767
